job_id,mode,task,slot,gpu,port,successes,episodes,success_rate_pct,status,log
10,demo_clean,hanging_mug,1,1,6699,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job010_demo_clean_hanging_mug_slot1.log
11,demo_clean,lift_pot,0,0,6698,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job011_demo_clean_lift_pot_slot0.log
12,demo_clean,move_can_pot,7,7,6705,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job012_demo_clean_move_can_pot_slot7.log
13,demo_clean,move_pillbottle_pad,6,6,6704,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job013_demo_clean_move_pillbottle_pad_slot6.log
14,demo_clean,move_playingcard_away,7,7,6705,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job014_demo_clean_move_playingcard_away_slot7.log
15,demo_clean,move_stapler_pad,0,0,6698,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job015_demo_clean_move_stapler_pad_slot0.log
16,demo_clean,open_laptop,4,4,6702,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job016_demo_clean_open_laptop_slot4.log
17,demo_clean,open_microwave,2,2,6700,3,3,100.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job017_demo_clean_open_microwave_slot2.log
18,demo_clean,pick_diverse_bottles,5,5,6703,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job018_demo_clean_pick_diverse_bottles_slot5.log
19,demo_clean,pick_dual_bottles,3,3,6701,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job019_demo_clean_pick_dual_bottles_slot3.log
20,demo_clean,place_a2b_left,6,6,6704,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job020_demo_clean_place_a2b_left_slot6.log
21,demo_clean,place_a2b_right,7,7,6705,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job021_demo_clean_place_a2b_right_slot7.log
22,demo_clean,place_bread_basket,0,0,6698,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job022_demo_clean_place_bread_basket_slot0.log
23,demo_clean,place_bread_skillet,1,1,6699,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job023_demo_clean_place_bread_skillet_slot1.log
24,demo_clean,place_burger_fries,2,2,6700,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job024_demo_clean_place_burger_fries_slot2.log
25,demo_clean,place_can_basket,5,5,6703,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job025_demo_clean_place_can_basket_slot5.log
26,demo_clean,place_cans_plasticbox,3,3,6701,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job026_demo_clean_place_cans_plasticbox_slot3.log
27,demo_clean,place_container_plate,6,6,6704,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job027_demo_clean_place_container_plate_slot6.log
28,demo_clean,place_dual_shoes,7,7,6705,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job028_demo_clean_place_dual_shoes_slot7.log
29,demo_clean,place_empty_cup,4,4,6702,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job029_demo_clean_place_empty_cup_slot4.log
30,demo_clean,place_fan,6,6,6704,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job030_demo_clean_place_fan_slot6.log
31,demo_clean,place_mouse_pad,1,1,6699,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job031_demo_clean_place_mouse_pad_slot1.log
32,demo_clean,place_object_basket,0,0,6698,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job032_demo_clean_place_object_basket_slot0.log
33,demo_clean,place_object_scale,2,2,6700,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job033_demo_clean_place_object_scale_slot2.log
34,demo_clean,place_object_stand,4,4,6702,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job034_demo_clean_place_object_stand_slot4.log
35,demo_clean,place_phone_stand,6,6,6704,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job035_demo_clean_place_phone_stand_slot6.log
36,demo_clean,place_shoe,3,3,6701,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job036_demo_clean_place_shoe_slot3.log
37,demo_clean,press_stapler,1,1,6699,2,3,66.7000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job037_demo_clean_press_stapler_slot1.log
38,demo_clean,put_bottles_dustbin,5,5,6703,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job038_demo_clean_put_bottles_dustbin_slot5.log
39,demo_clean,put_object_cabinet,7,7,6705,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job039_demo_clean_put_object_cabinet_slot7.log
40,demo_clean,rotate_qrcode,2,2,6700,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job040_demo_clean_rotate_qrcode_slot2.log
41,demo_clean,scan_object,1,1,6699,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job041_demo_clean_scan_object_slot1.log
42,demo_clean,shake_bottle_horizontally,4,4,6702,2,3,66.7000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job042_demo_clean_shake_bottle_horizontally_slot4.log
43,demo_clean,shake_bottle,6,6,6704,2,3,66.7000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job043_demo_clean_shake_bottle_slot6.log
44,demo_clean,stack_blocks_three,3,3,6701,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job044_demo_clean_stack_blocks_three_slot3.log
45,demo_clean,stack_blocks_two,0,0,6698,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job045_demo_clean_stack_blocks_two_slot0.log
46,demo_clean,stack_bowls_three,2,2,6700,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job046_demo_clean_stack_bowls_three_slot2.log
47,demo_clean,stack_bowls_two,4,4,6702,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job047_demo_clean_stack_bowls_two_slot4.log
48,demo_clean,stamp_seal,6,6,6704,0,3,0.0000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job048_demo_clean_stamp_seal_slot6.log
49,demo_clean,turn_switch,1,1,6699,1,3,33.3000,complete,/horizon-bucket/robot_lab/users/sen.wang-labs/starVLA/outputs/starvla_wam_robotwin/robotwin_eval_results/robotwin_clean3_20260707_124739/logs/job049_demo_clean_turn_switch_slot1.log
